modelo,config,umbral,f1_macro
gemini,c1,3,0.3267
gemini,c1,4,0.3267
gemini,c1,5,0.3578
gemini,c1,6,0.3728
gemini,c1,7,0.3728
gemini,c1,8,0.3728
gemini,c1,9,0.3728
gemini,c1,10,0.3728
gemini,c1,11,0.3833
gemini,c1,12,0.3833
gemini,c1,13,0.3974
gemini,c1,14,0.3974
gemini,c1,15,0.4248
gemini,c1,16,0.451
gemini,c1,17,0.4763
gemini,c1,18,0.4885
gemini,c1,19,0.5015
gemini,c1,20,0.5015
gemini,c1,21,0.5184
gemini,c1,22,0.5294
gemini,c1,23,0.5448
gemini,c1,24,0.5448
gemini,c1,25,0.5693
gemini,c1,26,0.5791
gemini,c1,27,0.5827
gemini,c1,28,0.5765
gemini,c1,29,0.5765
gemini,c1,30,0.5859
gemini,c1,31,0.5826
gemini,c1,32,0.5826
gemini,c1,33,0.6031
gemini,c1,34,0.5967
gemini,c1,35,0.6054
gemini,c1,36,0.6054
gemini,c1,37,0.5857
gemini,c1,38,0.5791
gemini,c1,39,0.5875
gemini,c1,40,0.5875
gemini,c1,41,0.6204
gemini,c1,42,0.6136
gemini,c1,43,0.6156
gemini,c1,44,0.6156
gemini,c1,45,0.6387
gemini,c1,46,0.6387
gemini,c1,47,0.6316
gemini,c1,48,0.6245
gemini,c1,49,0.632
gemini,c1,50,0.632
gemini,c1,51,0.6544
gemini,c1,52,0.6544
gemini,c1,53,0.6397
gemini,c1,54,0.6397
gemini,c1,55,0.6392
gemini,c1,56,0.6316
gemini,c1,57,0.6316
gemini,c1,58,0.6311
gemini,c1,59,0.6295
gemini,c1,60,0.6215
gemini,c1,61,0.6215
gemini,c1,62,0.6284
gemini,c1,63,0.619
gemini,c1,64,0.619
gemini,c1,65,0.6175
gemini,c1,66,0.6175
gemini,c1,67,0.5988
gemini,c1,68,0.6054
gemini,c1,69,0.5879
gemini,c1,70,0.5943
gemini,c1,71,0.5854
gemini,c1,72,0.5826
gemini,c1,73,0.5797
gemini,c1,74,0.5797
gemini,c1,75,0.5765
gemini,c1,76,0.5669
gemini,c1,77,0.5572
gemini,c1,78,0.5474
gemini,c1,79,0.5228
gemini,c1,80,0.5228
gemini,c1,81,0.4798
gemini,c1,82,0.4906
gemini,c1,83,0.4661
gemini,c1,84,0.4661
gemini,c1,85,0.4638
gemini,c1,86,0.4638
gemini,c1,87,0.4381
gemini,c1,88,0.4428
gemini,c1,89,0.3915
gemini,c1,90,0.3956
gemini,c1,91,0.3652
gemini,c1,92,0.3495
gemini,c1,93,0.3564
gemini,c1,94,0.3564
gemini,c1,95,0.3398
gemini,c1,96,0.3398
gemini,c1,97,0.3398
gemini,c1,98,0.3398
gemini,c1,99,0.3398
gemini,c1,100,0.3398
gemini,c2,0,0.302
gemini,c2,1,0.3207
gemini,c2,2,0.3207
gemini,c2,3,0.3207
gemini,c2,4,0.3207
gemini,c2,5,0.3207
gemini,c2,6,0.3566
gemini,c2,7,0.423
gemini,c2,8,0.423
gemini,c2,9,0.423
gemini,c2,10,0.423
gemini,c2,11,0.4386
gemini,c2,12,0.4687
gemini,c2,13,0.4832
gemini,c2,14,0.4832
gemini,c2,15,0.4975
gemini,c2,16,0.4975
gemini,c2,17,0.4975
gemini,c2,18,0.4975
gemini,c2,19,0.4975
gemini,c2,20,0.4975
gemini,c2,21,0.5114
gemini,c2,22,0.5251
gemini,c2,23,0.5517
gemini,c2,24,0.5517
gemini,c2,25,0.5646
gemini,c2,26,0.5773
gemini,c2,27,0.5897
gemini,c2,28,0.5897
gemini,c2,29,0.5734
gemini,c2,30,0.5734
gemini,c2,31,0.5734
gemini,c2,32,0.5734
gemini,c2,33,0.5489
gemini,c2,34,0.5607
gemini,c2,35,0.5837
gemini,c2,36,0.5864
gemini,c2,37,0.5907
gemini,c2,38,0.5907
gemini,c2,39,0.5819
gemini,c2,40,0.5819
gemini,c2,41,0.5819
gemini,c2,42,0.5819
gemini,c2,43,0.6131
gemini,c2,44,0.604
gemini,c2,45,0.5956
gemini,c2,46,0.5956
gemini,c2,47,0.6152
gemini,c2,48,0.6152
gemini,c2,49,0.6152
gemini,c2,50,0.6057
gemini,c2,51,0.6345
gemini,c2,52,0.6345
gemini,c2,53,0.6241
gemini,c2,54,0.6233
gemini,c2,55,0.6415
gemini,c2,56,0.6312
gemini,c2,57,0.6402
gemini,c2,58,0.6402
gemini,c2,59,0.5974
gemini,c2,60,0.5864
gemini,c2,61,0.5837
gemini,c2,62,0.5837
gemini,c2,63,0.6006
gemini,c2,64,0.6057
gemini,c2,65,0.6057
gemini,c2,66,0.6057
gemini,c2,67,0.5938
gemini,c2,68,0.5938
gemini,c2,69,0.5816
gemini,c2,70,0.5897
gemini,c2,71,0.5979
gemini,c2,72,0.5979
gemini,c2,73,0.5934
gemini,c2,74,0.6015
gemini,c2,75,0.6095
gemini,c2,76,0.6095
gemini,c2,77,0.5964
gemini,c2,78,0.6044
gemini,c2,79,0.5413
gemini,c2,80,0.526
gemini,c2,81,0.4913
gemini,c2,82,0.4913
gemini,c2,83,0.4913
gemini,c2,84,0.4913
gemini,c2,85,0.474
gemini,c2,86,0.4624
gemini,c2,87,0.4303
gemini,c2,88,0.4303
gemini,c2,89,0.4359
gemini,c2,90,0.4359
gemini,c2,91,0.3944
gemini,c2,92,0.3993
gemini,c2,93,0.4042
gemini,c2,94,0.4042
gemini,c2,95,0.362
gemini,c2,96,0.362
gemini,c2,97,0.362
gemini,c2,98,0.362
gemini,c2,99,0.362
gemini,c2,100,0.362
gemini,c3,0,0.3354
gemini,c3,1,0.3354
gemini,c3,2,0.3556
gemini,c3,3,0.3556
gemini,c3,4,0.3556
gemini,c3,5,0.3556
gemini,c3,6,0.3556
gemini,c3,7,0.3556
gemini,c3,8,0.3752
gemini,c3,9,0.3942
gemini,c3,10,0.3942
gemini,c3,11,0.4251
gemini,c3,12,0.4423
gemini,c3,13,0.4591
gemini,c3,14,0.4591
gemini,c3,15,0.4591
gemini,c3,16,0.4591
gemini,c3,17,0.4591
gemini,c3,18,0.4754
gemini,c3,19,0.5219
gemini,c3,20,0.5219
gemini,c3,21,0.5219
gemini,c3,22,0.5367
gemini,c3,23,0.5512
gemini,c3,24,0.5512
gemini,c3,25,0.5792
gemini,c3,26,0.5792
gemini,c3,27,0.5984
gemini,c3,28,0.6113
gemini,c3,29,0.624
gemini,c3,30,0.624
gemini,c3,31,0.6085
gemini,c3,32,0.6129
gemini,c3,33,0.6248
gemini,c3,34,0.6248
gemini,c3,35,0.6366
gemini,c3,36,0.6366
gemini,c3,37,0.6286
gemini,c3,38,0.6286
gemini,c3,39,0.6625
gemini,c3,40,0.6625
gemini,c3,41,0.6844
gemini,c3,42,0.676
gemini,c3,43,0.6677
gemini,c3,44,0.651
gemini,c3,45,0.665
gemini,c3,46,0.665
gemini,c3,47,0.6478
gemini,c3,48,0.6478
gemini,c3,49,0.6577
gemini,c3,50,0.6577
gemini,c3,51,0.6779
gemini,c3,52,0.6779
gemini,c3,53,0.6604
gemini,c3,54,0.6604
gemini,c3,55,0.6788
gemini,c3,56,0.6788
gemini,c3,57,0.6779
gemini,c3,58,0.6779
gemini,c3,59,0.6684
gemini,c3,60,0.6772
gemini,c3,61,0.6577
gemini,c3,62,0.6663
gemini,c3,63,0.6564
gemini,c3,64,0.6564
gemini,c3,65,0.665
gemini,c3,66,0.665
gemini,c3,67,0.665
gemini,c3,68,0.665
gemini,c3,69,0.6427
gemini,c3,70,0.6427
gemini,c3,71,0.6487
gemini,c3,72,0.6487
gemini,c3,73,0.627
gemini,c3,74,0.627
gemini,c3,75,0.6047
gemini,c3,76,0.6047
gemini,c3,77,0.6012
gemini,c3,78,0.5895
gemini,c3,79,0.5408
gemini,c3,80,0.5408
gemini,c3,81,0.5295
gemini,c3,82,0.5295
gemini,c3,83,0.5092
gemini,c3,84,0.516
gemini,c3,85,0.4721
gemini,c3,86,0.4567
gemini,c3,87,0.4307
gemini,c3,88,0.4307
gemini,c3,89,0.3791
gemini,c3,90,0.3791
gemini,c3,91,0.3842
gemini,c3,92,0.3842
gemini,c3,93,0.3657
gemini,c3,94,0.3467
gemini,c3,95,0.3313
gemini,c3,96,0.3313
gemini,c3,97,0.3313
gemini,c3,98,0.3313
gemini,c3,99,0.3313
gemini,c3,100,0.3313
